Text_id,Text_types
G17,book
G1A,book
G1C,book
G1D,book
G1H,book
G1L,book
G1Y,book
G27,book
G28,academic journal
G2G,magazine
G2J,magazine
G2S,magazine
G31,magazine
G39,book
G3A,book
G3B,book
G3C,other - written
G3F,book
G3J,book
G3L,book
G3M,other - written
G3N,book
G46,medical consultation
G48,medical consultation
G4E,medical consultation
G4F,presentation/ public speech
G4G,presentation/ public speech
G4H,presentation/ public speech
G4X,meeting
G56,medical consultation
G5H,other - spoken
G5J,interview
G5K,meeting
G5M,medical consultation
G5P,medical consultation
G5T,medical consultation
G5U,medical consultation
G60,medical consultation
G61,lecture/ training
GSY,book
GT9,book
GU5,book
GU7,book
GU8,book
GUC,book
GUR,book
GUW,book
GVA,book
GVD,book
GVG,book
GVH,book
GVK,book
GVR,book
GW0,book
GW6,book
GW9,book
GWG,book
GWH,book
GWJ,academic journal
GWM,book
GWN,academic journal
GXB,other - written
GXE,newsletter
GXH,meeting
GXJ,leaflet
GY4,meeting
GYR,lecture/ training
H06,book
H0B,book
H0N,book
H0U,book
H0Y,book
H46,book
H4V,medical consultation
H4X,medical consultation
H56,medical consultation
H5N,medical consultation
H61,seminar/ conference
H78,book
H7A,book
H7B,book
H7E,book
H7K,book
H7P,book
H81,book
H82,book
H88,book
H8D,book
H8E,book
H8K,book
H91,book
H97,book
H99,book
H9A,academic journal
H9C,book
H9H,book
H9J,lecture/ training
H9L,book
H9M,book
H9S,book
H9X,book
HA0,book
HA3,book
HAC,magazine
HB5,document
HBH,magazine
HBM,other - written
HBP,other - written
HCE,newsletter
HCK,magazine
HD1,other - written
HDN,seminar/ conference
HDP,seminar/ conference
HDR,other - written
HDT,seminar/ conference
HDU,seminar/ conference
HDV,seminar/ conference
HDW,seminar/ conference
HE2,lecture/ training
HGD,book
HGR,book
HGS,book
HGV,book
HH1,book
HH2,book
HHF,other - written
HHH,other - written
HHK,other - written
HHL,other - written
HHN,other - written
HHV,meeting
HHW,meeting
HHX,grant abstract
HJ0,grant abstract
HJ1,grant abstract
HJ3,newspaper
HJ4,newspaper
HJ8,letters
HJA,other - written
HJD,other - written
HKP,newspaper
HKU,newspaper
HKV,newspaper
HKY,newspaper
HL1,newspaper
HL3,newspaper
HL4,newspaper
HL7,newspaper
HLA,newspaper
HLD,newspaper
HLF,newspaper
HLG,newspaper
HLJ,newspaper
HLM,newspaper
HLN,newspaper
HLP,newspaper
HLR,newspaper
HLU,newspaper
HLW,seminar/ conference
HLY,seminar/ conference
HNK,book
HNL,book
HNM,book
HNV,book
HP3,academic journal
HP5,other - written
HP6,newsletter
HPD,other - written
HPF,other - written
HPK,newsletter
HPY,book
HR1,book
HR3,book
HRD,book
HRH,book
HRK,book
HRT,other - written
HRW,other - written
HSC,essays
HSG,book
HTD,other - written
HTF,book
HTJ,book
HTV,book
HU3,academic journal
HU5,other - written
HU9,other - written
HUC,seminar/ conference
HUK,lecture/ training
HUL,lecture/ training
HUM,lecture/ training
HUN,lecture/ training
HVG,meeting
HVH,meeting
HVJ,meeting
HWF,book
HWH,book
HWT,academic journal
HWV,academic journal
HWW,academic journal
HX9,thesis
HXC,book
HXE,book
HXG,book
HXN,book
HXT,book
HXV,book
HXW,book
HXX,book
HXY,book
HY5,book
HY7,book
HY8,book
HYD,lecture/ training
HYR,lecture/ training
HYS,lecture/ training
HYX,meeting
J0U,book
J0V,book
J1U,newspaper
J1V,book
J1X,other - written
J27,other - written
J2N,other - written
J2V,other - written
J3K,other - written
J6N,book
J6P,book
J6R,book
J6S,book
J6T,book
J70,book
J72,book
J76,book
J77,book
J78,book
J7B,book
J7C,book
J7D,book
J7E,book
J8D,lecture/ training
J8K,lecture/ training
J9A,meeting
J9G,other - spoken
JA0,interview
JA1,interview
JA2,interview
JA3,interview
JA4,interview
JA9,meeting
JAC,meeting
JJ6,lecture/ training
JJ8,lecture/ training
JJH,lecture/ training
JJL,seminar/ conference
JK7,lecture/ training
JK8,lecture/ training
JK9,lecture/ training
JN6,meeting
JND,lecture/ training
JNF,meeting
JNG,meeting
JNH,meeting
JNJ,meeting
JNK,meeting
JNM,meeting
JNP,meeting
JNX,other - spoken
JNY,other - spoken
JSA,lecture/ training
JSC,court hearing
JSD,seminar/ conference
JSE,other - spoken
JSJ,debate
JSK,other - spoken
JSL,other - spoken
JSM,other - spoken
JSN,lecture/ training
JST,lecture/ training
JT4,lecture/ training
JXJ,book
JXN,book
JY7,book
JYF,book
K5T,academic journal
K5Y,academic journal
K6H,tv or radio broadcast
K74,lecture/ training
K79,presentation/ public speech
K8S,book
K90,book
KA1,essays
KA2,essays
KA3,essays
KAY,essays
KGK,tv or radio broadcast
KGL,lecture/ training
KGT,lecture/ training
KGU,lecture/ training
KLG,lecture/ training
KLT,seminar/ conference
KLV,meeting
KLX,meeting
KLY,seminar/ conference
KM1,seminar/ conference
KM4,meeting
KS0,meeting
KS9,magazine
A0R,book
A0U,book
A15,book
A6G,book
A6X,magazine
A7J,book
A7W,newspaper
A91,newspaper
AA1,newspaper
AAG,newspaper
AAX,newspaper
AAY,other - written
AC6,book
ACR,newspaper
ACS,book
AR7,magazine
AYM,leaflet
BNJ,other - written
C9U,book
CNA,academic journal
EEB,book
F7J,meeting
FLS,meeting
FUF,lecture/ training
FUJ,meeting
FUT,presentation/ public speech
G4C,medical consultation
G58,medical consultation
GYX,lecture/ training
H5E,meeting
H5M,medical consultation
H5S,medical consultation
